Title,Bucket,Level,Domain,Practice ID,Parent,Task Type,Priority,Owner,Supporting Owners,Dependencies,Labels,Description,Definition of Done
Collect evidence for CM.L2-3.4.7,L2 Configuration Management,Level 2,CM,CM.L2-3.4.7,Complete CM Level 2 family readiness,Evidence,Critical,Joshua Hornback,Sulaiman Ahmad,Validate CM.L2-3.4.7 Nonessential Functionality; Level 2 evidence index,L2;CM;Evidence;CM.L2-3.4.7,Collect artifact and operational proof for CM.L2-3.4.7 Nonessential Functionality.,"Evidence for CM.L2-3.4.7 is current, stored, and mapped in the evidence index."
Remediate CM.L2-3.4.7 gaps,L2 Configuration Management,Level 2,CM,CM.L2-3.4.7,Complete CM Level 2 family readiness,Remediation,Critical,Joshua Hornback,Sulaiman Ahmad,POA&M; evidence review for CM.L2-3.4.7,L2;CM;Remediation;CM.L2-3.4.7,"Close any documentation, implementation, or evidence gaps found for CM.L2-3.4.7 Nonessential Functionality.",Gaps for CM.L2-3.4.7 are closed or formally tracked in the POA&M with owner and due date.
Validate CM.L2-3.4.8 Application Execution Policy,L2 Configuration Management,Level 2,CM,CM.L2-3.4.8,Complete CM Level 2 family readiness,Practice,Critical,Joshua Hornback,Sulaiman Ahmad,CM Level 2 policy and procedure; SSP,L2;CM;Practice;CM.L2-3.4.8,Validate implementation of CM.L2-3.4.8 Application Execution Policy in the live CUI environment.,CM.L2-3.4.8 is implemented or a concrete gap is documented.
Collect evidence for CM.L2-3.4.8,L2 Configuration Management,Level 2,CM,CM.L2-3.4.8,Complete CM Level 2 family readiness,Evidence,Critical,Joshua Hornback,Sulaiman Ahmad,Validate CM.L2-3.4.8 Application Execution Policy; Level 2 evidence index,L2;CM;Evidence;CM.L2-3.4.8,Collect artifact and operational proof for CM.L2-3.4.8 Application Execution Policy.,"Evidence for CM.L2-3.4.8 is current, stored, and mapped in the evidence index."
Remediate CM.L2-3.4.8 gaps,L2 Configuration Management,Level 2,CM,CM.L2-3.4.8,Complete CM Level 2 family readiness,Remediation,Critical,Joshua Hornback,Sulaiman Ahmad,POA&M; evidence review for CM.L2-3.4.8,L2;CM;Remediation;CM.L2-3.4.8,"Close any documentation, implementation, or evidence gaps found for CM.L2-3.4.8 Application Execution Policy.",Gaps for CM.L2-3.4.8 are closed or formally tracked in the POA&M with owner and due date.
Validate CM.L2-3.4.9 User-Installed Software,L2 Configuration Management,Level 2,CM,CM.L2-3.4.9,Complete CM Level 2 family readiness,Practice,Critical,Joshua Hornback,Sulaiman Ahmad,CM Level 2 policy and procedure; SSP,L2;CM;Practice;CM.L2-3.4.9,Validate implementation of CM.L2-3.4.9 User-Installed Software in the live CUI environment.,CM.L2-3.4.9 is implemented or a concrete gap is documented.
Collect evidence for CM.L2-3.4.9,L2 Configuration Management,Level 2,CM,CM.L2-3.4.9,Complete CM Level 2 family readiness,Evidence,Critical,Joshua Hornback,Sulaiman Ahmad,Validate CM.L2-3.4.9 User-Installed Software; Level 2 evidence index,L2;CM;Evidence;CM.L2-3.4.9,Collect artifact and operational proof for CM.L2-3.4.9 User-Installed Software.,"Evidence for CM.L2-3.4.9 is current, stored, and mapped in the evidence index."
Remediate CM.L2-3.4.9 gaps,L2 Configuration Management,Level 2,CM,CM.L2-3.4.9,Complete CM Level 2 family readiness,Remediation,Critical,Joshua Hornback,Sulaiman Ahmad,POA&M; evidence review for CM.L2-3.4.9,L2;CM;Remediation;CM.L2-3.4.9,"Close any documentation, implementation, or evidence gaps found for CM.L2-3.4.9 User-Installed Software.",Gaps for CM.L2-3.4.9 are closed or formally tracked in the POA&M with owner and due date.
Complete IA Level 2 family readiness,L2 Identity & Auth,Level 2,IA,,,Epic,High,Joshua Hornback,Andy Volk; Sulaiman Ahmad,Level 2 SSP; owner matrix; evidence index,L2;IA;Epic;Family,"Complete Level 2 IA documentation, implementation validation, evidence, review, and approval.",IA Level 2 family package is complete and traceable to all applicable practices.
Finalize IA Level 2 policy,L2 Identity & Auth,Level 2,IA,,Complete IA Level 2 family readiness,Policy,Critical,Joshua Hornback,Andy Volk; Sulaiman Ahmad,L2 gap register; SSP; existing templates,L2;IA;Policy,Create and tailor the Level 2 IA policy to the live CUI environment.,"Policy is approved, environment-specific, and mapped to practices."
Finalize IA Level 2 procedure,L2 Identity & Auth,Level 2,IA,,Complete IA Level 2 family readiness,Procedure,Critical,Joshua Hornback,Andy Volk; Sulaiman Ahmad,L2 gap register; SSP; existing templates,L2;IA;Procedure,Create and tailor the Level 2 IA procedure to the live CUI environment.,"Procedure is approved, operationally accurate, and linked to evidence sources."
Validate IA Level 2 family implementation,L2 Identity & Auth,Level 2,IA,,Complete IA Level 2 family readiness,Implementation,Critical,Joshua Hornback,Andy Volk; Sulaiman Ahmad,IA policy and procedure; SSP,L2;IA;Implementation,"Validate the family-level implementation approach, records, system behavior, and operating cadence for IA.",Family-level implementation checks are complete and deficiencies are recorded.
Collect IA Level 2 family evidence set,L2 Identity & Auth,Level 2,IA,,Complete IA Level 2 family readiness,Evidence,Critical,Joshua Hornback,Andy Volk; Sulaiman Ahmad,IA implementation validation; Level 2 evidence index,L2;IA;Evidence,Assemble the baseline artifact and proof set for the Level 2 IA family.,"The family evidence set is complete, current, and referenced in the evidence index."
Review IA Level 2 family package,L2 Identity & Auth,Level 2,IA,,Complete IA Level 2 family readiness,Review,High,Sulaiman Ahmad,Andy Volk; Sulaiman Ahmad,IA family evidence set; POA&M,L2;IA;Review,"Review the full Level 2 IA package for completeness, traceability, and assessment readiness.",The family package passes internal review or has tracked corrective actions.
Approve IA Level 2 family package,L2 Identity & Auth,Level 2,IA,,Complete IA Level 2 family readiness,Approval,High,Ryan Lin,Joshua Hornback,IA family review complete,L2;IA;Approval;Executive,Approve the Level 2 IA package for inclusion in the final readiness set.,Leadership approval or explicit residual risk acceptance is recorded.
Validate IA.L2-3.5.1 Use Unique IDs for Users,L2 Identity & Auth,Level 2,IA,IA.L2-3.5.1,Complete IA Level 2 family readiness,Practice,Critical,Joshua Hornback,Andy Volk; Sulaiman Ahmad,IA Level 2 policy and procedure; SSP,L2;IA;Practice;IA.L2-3.5.1,Validate implementation of IA.L2-3.5.1 Use Unique IDs for Users in the live CUI environment.,IA.L2-3.5.1 is implemented or a concrete gap is documented.
Collect evidence for IA.L2-3.5.1,L2 Identity & Auth,Level 2,IA,IA.L2-3.5.1,Complete IA Level 2 family readiness,Evidence,Critical,Joshua Hornback,Andy Volk; Sulaiman Ahmad,Validate IA.L2-3.5.1 Use Unique IDs for Users; Level 2 evidence index,L2;IA;Evidence;IA.L2-3.5.1,Collect artifact and operational proof for IA.L2-3.5.1 Use Unique IDs for Users.,"Evidence for IA.L2-3.5.1 is current, stored, and mapped in the evidence index."
Remediate IA.L2-3.5.1 gaps,L2 Identity & Auth,Level 2,IA,IA.L2-3.5.1,Complete IA Level 2 family readiness,Remediation,Critical,Joshua Hornback,Andy Volk; Sulaiman Ahmad,POA&M; evidence review for IA.L2-3.5.1,L2;IA;Remediation;IA.L2-3.5.1,"Close any documentation, implementation, or evidence gaps found for IA.L2-3.5.1 Use Unique IDs for Users.",Gaps for IA.L2-3.5.1 are closed or formally tracked in the POA&M with owner and due date.
Validate IA.L2-3.5.2 Authenticate Users Before Access,L2 Identity & Auth,Level 2,IA,IA.L2-3.5.2,Complete IA Level 2 family readiness,Practice,Critical,Joshua Hornback,Andy Volk; Sulaiman Ahmad,IA Level 2 policy and procedure; SSP,L2;IA;Practice;IA.L2-3.5.2,Validate implementation of IA.L2-3.5.2 Authenticate Users Before Access in the live CUI environment.,IA.L2-3.5.2 is implemented or a concrete gap is documented.
Collect evidence for IA.L2-3.5.2,L2 Identity & Auth,Level 2,IA,IA.L2-3.5.2,Complete IA Level 2 family readiness,Evidence,Critical,Joshua Hornback,Andy Volk; Sulaiman Ahmad,Validate IA.L2-3.5.2 Authenticate Users Before Access; Level 2 evidence index,L2;IA;Evidence;IA.L2-3.5.2,Collect artifact and operational proof for IA.L2-3.5.2 Authenticate Users Before Access.,"Evidence for IA.L2-3.5.2 is current, stored, and mapped in the evidence index."
Remediate IA.L2-3.5.2 gaps,L2 Identity & Auth,Level 2,IA,IA.L2-3.5.2,Complete IA Level 2 family readiness,Remediation,Critical,Joshua Hornback,Andy Volk; Sulaiman Ahmad,POA&M; evidence review for IA.L2-3.5.2,L2;IA;Remediation;IA.L2-3.5.2,"Close any documentation, implementation, or evidence gaps found for IA.L2-3.5.2 Authenticate Users Before Access.",Gaps for IA.L2-3.5.2 are closed or formally tracked in the POA&M with owner and due date.
Validate IA.L2-3.5.3 Multifactor Authentication,L2 Identity & Auth,Level 2,IA,IA.L2-3.5.3,Complete IA Level 2 family readiness,Practice,Critical,Joshua Hornback,Andy Volk; Sulaiman Ahmad,IA Level 2 policy and procedure; SSP,L2;IA;Practice;IA.L2-3.5.3,Validate implementation of IA.L2-3.5.3 Multifactor Authentication in the live CUI environment.,IA.L2-3.5.3 is implemented or a concrete gap is documented.
Collect evidence for IA.L2-3.5.3,L2 Identity & Auth,Level 2,IA,IA.L2-3.5.3,Complete IA Level 2 family readiness,Evidence,Critical,Joshua Hornback,Andy Volk; Sulaiman Ahmad,Validate IA.L2-3.5.3 Multifactor Authentication; Level 2 evidence index,L2;IA;Evidence;IA.L2-3.5.3,Collect artifact and operational proof for IA.L2-3.5.3 Multifactor Authentication.,"Evidence for IA.L2-3.5.3 is current, stored, and mapped in the evidence index."
Remediate IA.L2-3.5.3 gaps,L2 Identity & Auth,Level 2,IA,IA.L2-3.5.3,Complete IA Level 2 family readiness,Remediation,Critical,Joshua Hornback,Andy Volk; Sulaiman Ahmad,POA&M; evidence review for IA.L2-3.5.3,L2;IA;Remediation;IA.L2-3.5.3,"Close any documentation, implementation, or evidence gaps found for IA.L2-3.5.3 Multifactor Authentication.",Gaps for IA.L2-3.5.3 are closed or formally tracked in the POA&M with owner and due date.
Validate IA.L2-3.5.4 Replay-Resistant Authentication,L2 Identity & Auth,Level 2,IA,IA.L2-3.5.4,Complete IA Level 2 family readiness,Practice,Critical,Joshua Hornback,Andy Volk; Sulaiman Ahmad,IA Level 2 policy and procedure; SSP,L2;IA;Practice;IA.L2-3.5.4,Validate implementation of IA.L2-3.5.4 Replay-Resistant Authentication in the live CUI environment.,IA.L2-3.5.4 is implemented or a concrete gap is documented.
Collect evidence for IA.L2-3.5.4,L2 Identity & Auth,Level 2,IA,IA.L2-3.5.4,Complete IA Level 2 family readiness,Evidence,Critical,Joshua Hornback,Andy Volk; Sulaiman Ahmad,Validate IA.L2-3.5.4 Replay-Resistant Authentication; Level 2 evidence index,L2;IA;Evidence;IA.L2-3.5.4,Collect artifact and operational proof for IA.L2-3.5.4 Replay-Resistant Authentication.,"Evidence for IA.L2-3.5.4 is current, stored, and mapped in the evidence index."
Remediate IA.L2-3.5.4 gaps,L2 Identity & Auth,Level 2,IA,IA.L2-3.5.4,Complete IA Level 2 family readiness,Remediation,Critical,Joshua Hornback,Andy Volk; Sulaiman Ahmad,POA&M; evidence review for IA.L2-3.5.4,L2;IA;Remediation;IA.L2-3.5.4,"Close any documentation, implementation, or evidence gaps found for IA.L2-3.5.4 Replay-Resistant Authentication.",Gaps for IA.L2-3.5.4 are closed or formally tracked in the POA&M with owner and due date.
Validate IA.L2-3.5.5 Identifier Reuse,L2 Identity & Auth,Level 2,IA,IA.L2-3.5.5,Complete IA Level 2 family readiness,Practice,Critical,Joshua Hornback,Andy Volk; Sulaiman Ahmad,IA Level 2 policy and procedure; SSP,L2;IA;Practice;IA.L2-3.5.5,Validate implementation of IA.L2-3.5.5 Identifier Reuse in the live CUI environment.,IA.L2-3.5.5 is implemented or a concrete gap is documented.
Collect evidence for IA.L2-3.5.5,L2 Identity & Auth,Level 2,IA,IA.L2-3.5.5,Complete IA Level 2 family readiness,Evidence,Critical,Joshua Hornback,Andy Volk; Sulaiman Ahmad,Validate IA.L2-3.5.5 Identifier Reuse; Level 2 evidence index,L2;IA;Evidence;IA.L2-3.5.5,Collect artifact and operational proof for IA.L2-3.5.5 Identifier Reuse.,"Evidence for IA.L2-3.5.5 is current, stored, and mapped in the evidence index."
Remediate IA.L2-3.5.5 gaps,L2 Identity & Auth,Level 2,IA,IA.L2-3.5.5,Complete IA Level 2 family readiness,Remediation,Critical,Joshua Hornback,Andy Volk; Sulaiman Ahmad,POA&M; evidence review for IA.L2-3.5.5,L2;IA;Remediation;IA.L2-3.5.5,"Close any documentation, implementation, or evidence gaps found for IA.L2-3.5.5 Identifier Reuse.",Gaps for IA.L2-3.5.5 are closed or formally tracked in the POA&M with owner and due date.
Validate IA.L2-3.5.6 Identifier Handling,L2 Identity & Auth,Level 2,IA,IA.L2-3.5.6,Complete IA Level 2 family readiness,Practice,Critical,Joshua Hornback,Andy Volk; Sulaiman Ahmad,IA Level 2 policy and procedure; SSP,L2;IA;Practice;IA.L2-3.5.6,Validate implementation of IA.L2-3.5.6 Identifier Handling in the live CUI environment.,IA.L2-3.5.6 is implemented or a concrete gap is documented.
Collect evidence for IA.L2-3.5.6,L2 Identity & Auth,Level 2,IA,IA.L2-3.5.6,Complete IA Level 2 family readiness,Evidence,Critical,Joshua Hornback,Andy Volk; Sulaiman Ahmad,Validate IA.L2-3.5.6 Identifier Handling; Level 2 evidence index,L2;IA;Evidence;IA.L2-3.5.6,Collect artifact and operational proof for IA.L2-3.5.6 Identifier Handling.,"Evidence for IA.L2-3.5.6 is current, stored, and mapped in the evidence index."
Remediate IA.L2-3.5.6 gaps,L2 Identity & Auth,Level 2,IA,IA.L2-3.5.6,Complete IA Level 2 family readiness,Remediation,Critical,Joshua Hornback,Andy Volk; Sulaiman Ahmad,POA&M; evidence review for IA.L2-3.5.6,L2;IA;Remediation;IA.L2-3.5.6,"Close any documentation, implementation, or evidence gaps found for IA.L2-3.5.6 Identifier Handling.",Gaps for IA.L2-3.5.6 are closed or formally tracked in the POA&M with owner and due date.
Validate IA.L2-3.5.7 Password Complexity,L2 Identity & Auth,Level 2,IA,IA.L2-3.5.7,Complete IA Level 2 family readiness,Practice,Critical,Joshua Hornback,Andy Volk; Sulaiman Ahmad,IA Level 2 policy and procedure; SSP,L2;IA;Practice;IA.L2-3.5.7,Validate implementation of IA.L2-3.5.7 Password Complexity in the live CUI environment.,IA.L2-3.5.7 is implemented or a concrete gap is documented.
Collect evidence for IA.L2-3.5.7,L2 Identity & Auth,Level 2,IA,IA.L2-3.5.7,Complete IA Level 2 family readiness,Evidence,Critical,Joshua Hornback,Andy Volk; Sulaiman Ahmad,Validate IA.L2-3.5.7 Password Complexity; Level 2 evidence index,L2;IA;Evidence;IA.L2-3.5.7,Collect artifact and operational proof for IA.L2-3.5.7 Password Complexity.,"Evidence for IA.L2-3.5.7 is current, stored, and mapped in the evidence index."
Remediate IA.L2-3.5.7 gaps,L2 Identity & Auth,Level 2,IA,IA.L2-3.5.7,Complete IA Level 2 family readiness,Remediation,Critical,Joshua Hornback,Andy Volk; Sulaiman Ahmad,POA&M; evidence review for IA.L2-3.5.7,L2;IA;Remediation;IA.L2-3.5.7,"Close any documentation, implementation, or evidence gaps found for IA.L2-3.5.7 Password Complexity.",Gaps for IA.L2-3.5.7 are closed or formally tracked in the POA&M with owner and due date.
Validate IA.L2-3.5.8 Password Reuse,L2 Identity & Auth,Level 2,IA,IA.L2-3.5.8,Complete IA Level 2 family readiness,Practice,Critical,Joshua Hornback,Andy Volk; Sulaiman Ahmad,IA Level 2 policy and procedure; SSP,L2;IA;Practice;IA.L2-3.5.8,Validate implementation of IA.L2-3.5.8 Password Reuse in the live CUI environment.,IA.L2-3.5.8 is implemented or a concrete gap is documented.
Collect evidence for IA.L2-3.5.8,L2 Identity & Auth,Level 2,IA,IA.L2-3.5.8,Complete IA Level 2 family readiness,Evidence,Critical,Joshua Hornback,Andy Volk; Sulaiman Ahmad,Validate IA.L2-3.5.8 Password Reuse; Level 2 evidence index,L2;IA;Evidence;IA.L2-3.5.8,Collect artifact and operational proof for IA.L2-3.5.8 Password Reuse.,"Evidence for IA.L2-3.5.8 is current, stored, and mapped in the evidence index."
Remediate IA.L2-3.5.8 gaps,L2 Identity & Auth,Level 2,IA,IA.L2-3.5.8,Complete IA Level 2 family readiness,Remediation,Critical,Joshua Hornback,Andy Volk; Sulaiman Ahmad,POA&M; evidence review for IA.L2-3.5.8,L2;IA;Remediation;IA.L2-3.5.8,"Close any documentation, implementation, or evidence gaps found for IA.L2-3.5.8 Password Reuse.",Gaps for IA.L2-3.5.8 are closed or formally tracked in the POA&M with owner and due date.
Validate IA.L2-3.5.9 Temporary Passwords,L2 Identity & Auth,Level 2,IA,IA.L2-3.5.9,Complete IA Level 2 family readiness,Practice,Critical,Joshua Hornback,Andy Volk; Sulaiman Ahmad,IA Level 2 policy and procedure; SSP,L2;IA;Practice;IA.L2-3.5.9,Validate implementation of IA.L2-3.5.9 Temporary Passwords in the live CUI environment.,IA.L2-3.5.9 is implemented or a concrete gap is documented.
Collect evidence for IA.L2-3.5.9,L2 Identity & Auth,Level 2,IA,IA.L2-3.5.9,Complete IA Level 2 family readiness,Evidence,Critical,Joshua Hornback,Andy Volk; Sulaiman Ahmad,Validate IA.L2-3.5.9 Temporary Passwords; Level 2 evidence index,L2;IA;Evidence;IA.L2-3.5.9,Collect artifact and operational proof for IA.L2-3.5.9 Temporary Passwords.,"Evidence for IA.L2-3.5.9 is current, stored, and mapped in the evidence index."
Remediate IA.L2-3.5.9 gaps,L2 Identity & Auth,Level 2,IA,IA.L2-3.5.9,Complete IA Level 2 family readiness,Remediation,Critical,Joshua Hornback,Andy Volk; Sulaiman Ahmad,POA&M; evidence review for IA.L2-3.5.9,L2;IA;Remediation;IA.L2-3.5.9,"Close any documentation, implementation, or evidence gaps found for IA.L2-3.5.9 Temporary Passwords.",Gaps for IA.L2-3.5.9 are closed or formally tracked in the POA&M with owner and due date.
Validate IA.L2-3.5.10 Cryptographically-Protected Passwords,L2 Identity & Auth,Level 2,IA,IA.L2-3.5.10,Complete IA Level 2 family readiness,Practice,Critical,Joshua Hornback,Andy Volk; Sulaiman Ahmad,IA Level 2 policy and procedure; SSP,L2;IA;Practice;IA.L2-3.5.10,Validate implementation of IA.L2-3.5.10 Cryptographically-Protected Passwords in the live CUI environment.,IA.L2-3.5.10 is implemented or a concrete gap is documented.
Collect evidence for IA.L2-3.5.10,L2 Identity & Auth,Level 2,IA,IA.L2-3.5.10,Complete IA Level 2 family readiness,Evidence,Critical,Joshua Hornback,Andy Volk; Sulaiman Ahmad,Validate IA.L2-3.5.10 Cryptographically-Protected Passwords; Level 2 evidence index,L2;IA;Evidence;IA.L2-3.5.10,Collect artifact and operational proof for IA.L2-3.5.10 Cryptographically-Protected Passwords.,"Evidence for IA.L2-3.5.10 is current, stored, and mapped in the evidence index."
Remediate IA.L2-3.5.10 gaps,L2 Identity & Auth,Level 2,IA,IA.L2-3.5.10,Complete IA Level 2 family readiness,Remediation,Critical,Joshua Hornback,Andy Volk; Sulaiman Ahmad,POA&M; evidence review for IA.L2-3.5.10,L2;IA;Remediation;IA.L2-3.5.10,"Close any documentation, implementation, or evidence gaps found for IA.L2-3.5.10 Cryptographically-Protected Passwords.",Gaps for IA.L2-3.5.10 are closed or formally tracked in the POA&M with owner and due date.
Validate IA.L2-3.5.11 Obscure Feedback,L2 Identity & Auth,Level 2,IA,IA.L2-3.5.11,Complete IA Level 2 family readiness,Practice,Critical,Joshua Hornback,Andy Volk; Sulaiman Ahmad,IA Level 2 policy and procedure; SSP,L2;IA;Practice;IA.L2-3.5.11,Validate implementation of IA.L2-3.5.11 Obscure Feedback in the live CUI environment.,IA.L2-3.5.11 is implemented or a concrete gap is documented.
Collect evidence for IA.L2-3.5.11,L2 Identity & Auth,Level 2,IA,IA.L2-3.5.11,Complete IA Level 2 family readiness,Evidence,Critical,Joshua Hornback,Andy Volk; Sulaiman Ahmad,Validate IA.L2-3.5.11 Obscure Feedback; Level 2 evidence index,L2;IA;Evidence;IA.L2-3.5.11,Collect artifact and operational proof for IA.L2-3.5.11 Obscure Feedback.,"Evidence for IA.L2-3.5.11 is current, stored, and mapped in the evidence index."
Remediate IA.L2-3.5.11 gaps,L2 Identity & Auth,Level 2,IA,IA.L2-3.5.11,Complete IA Level 2 family readiness,Remediation,Critical,Joshua Hornback,Andy Volk; Sulaiman Ahmad,POA&M; evidence review for IA.L2-3.5.11,L2;IA;Remediation;IA.L2-3.5.11,"Close any documentation, implementation, or evidence gaps found for IA.L2-3.5.11 Obscure Feedback.",Gaps for IA.L2-3.5.11 are closed or formally tracked in the POA&M with owner and due date.
Complete IR Level 2 family readiness,L2 Incident Response,Level 2,IR,,,Epic,High,Joshua Hornback,Andy Volk,Level 2 SSP; owner matrix; evidence index,L2;IR;Epic;Family,"Complete Level 2 IR documentation, implementation validation, evidence, review, and approval.",IR Level 2 family package is complete and traceable to all applicable practices.
Finalize IR Level 2 policy,L2 Incident Response,Level 2,IR,,Complete IR Level 2 family readiness,Policy,High,Joshua Hornback,Andy Volk,L2 gap register; SSP; existing templates,L2;IR;Policy,Create and tailor the Level 2 IR policy to the live CUI environment.,"Policy is approved, environment-specific, and mapped to practices."
Finalize IR Level 2 procedure,L2 Incident Response,Level 2,IR,,Complete IR Level 2 family readiness,Procedure,High,Joshua Hornback,Andy Volk,L2 gap register; SSP; existing templates,L2;IR;Procedure,Create and tailor the Level 2 IR procedure to the live CUI environment.,"Procedure is approved, operationally accurate, and linked to evidence sources."
Validate IR Level 2 family implementation,L2 Incident Response,Level 2,IR,,Complete IR Level 2 family readiness,Implementation,Critical,Joshua Hornback,Andy Volk,IR policy and procedure; SSP,L2;IR;Implementation,"Validate the family-level implementation approach, records, system behavior, and operating cadence for IR.",Family-level implementation checks are complete and deficiencies are recorded.
Collect IR Level 2 family evidence set,L2 Incident Response,Level 2,IR,,Complete IR Level 2 family readiness,Evidence,Critical,Joshua Hornback,Andy Volk,IR implementation validation; Level 2 evidence index,L2;IR;Evidence,Assemble the baseline artifact and proof set for the Level 2 IR family.,"The family evidence set is complete, current, and referenced in the evidence index."
Review IR Level 2 family package,L2 Incident Response,Level 2,IR,,Complete IR Level 2 family readiness,Review,High,Andy Volk,Andy Volk,IR family evidence set; POA&M,L2;IR;Review,"Review the full Level 2 IR package for completeness, traceability, and assessment readiness.",The family package passes internal review or has tracked corrective actions.
Approve IR Level 2 family package,L2 Incident Response,Level 2,IR,,Complete IR Level 2 family readiness,Approval,High,Ryan Lin,Joshua Hornback,IR family review complete,L2;IR;Approval;Executive,Approve the Level 2 IR package for inclusion in the final readiness set.,Leadership approval or explicit residual risk acceptance is recorded.
Validate IR.L2-3.6.1 Incident Handling,L2 Incident Response,Level 2,IR,IR.L2-3.6.1,Complete IR Level 2 family readiness,Practice,High,Joshua Hornback,Andy Volk,IR Level 2 policy and procedure; SSP,L2;IR;Practice;IR.L2-3.6.1,Validate implementation of IR.L2-3.6.1 Incident Handling in the live CUI environment.,IR.L2-3.6.1 is implemented or a concrete gap is documented.
Collect evidence for IR.L2-3.6.1,L2 Incident Response,Level 2,IR,IR.L2-3.6.1,Complete IR Level 2 family readiness,Evidence,High,Joshua Hornback,Andy Volk,Validate IR.L2-3.6.1 Incident Handling; Level 2 evidence index,L2;IR;Evidence;IR.L2-3.6.1,Collect artifact and operational proof for IR.L2-3.6.1 Incident Handling.,"Evidence for IR.L2-3.6.1 is current, stored, and mapped in the evidence index."
Remediate IR.L2-3.6.1 gaps,L2 Incident Response,Level 2,IR,IR.L2-3.6.1,Complete IR Level 2 family readiness,Remediation,High,Joshua Hornback,Andy Volk,POA&M; evidence review for IR.L2-3.6.1,L2;IR;Remediation;IR.L2-3.6.1,"Close any documentation, implementation, or evidence gaps found for IR.L2-3.6.1 Incident Handling.",Gaps for IR.L2-3.6.1 are closed or formally tracked in the POA&M with owner and due date.
Validate IR.L2-3.6.2 Incident Reporting,L2 Incident Response,Level 2,IR,IR.L2-3.6.2,Complete IR Level 2 family readiness,Practice,High,Joshua Hornback,Andy Volk,IR Level 2 policy and procedure; SSP,L2;IR;Practice;IR.L2-3.6.2,Validate implementation of IR.L2-3.6.2 Incident Reporting in the live CUI environment.,IR.L2-3.6.2 is implemented or a concrete gap is documented.
Collect evidence for IR.L2-3.6.2,L2 Incident Response,Level 2,IR,IR.L2-3.6.2,Complete IR Level 2 family readiness,Evidence,High,Joshua Hornback,Andy Volk,Validate IR.L2-3.6.2 Incident Reporting; Level 2 evidence index,L2;IR;Evidence;IR.L2-3.6.2,Collect artifact and operational proof for IR.L2-3.6.2 Incident Reporting.,"Evidence for IR.L2-3.6.2 is current, stored, and mapped in the evidence index."
Remediate IR.L2-3.6.2 gaps,L2 Incident Response,Level 2,IR,IR.L2-3.6.2,Complete IR Level 2 family readiness,Remediation,High,Joshua Hornback,Andy Volk,POA&M; evidence review for IR.L2-3.6.2,L2;IR;Remediation;IR.L2-3.6.2,"Close any documentation, implementation, or evidence gaps found for IR.L2-3.6.2 Incident Reporting.",Gaps for IR.L2-3.6.2 are closed or formally tracked in the POA&M with owner and due date.
Validate IR.L2-3.6.3 Incident Response Testing,L2 Incident Response,Level 2,IR,IR.L2-3.6.3,Complete IR Level 2 family readiness,Practice,High,Joshua Hornback,Andy Volk,IR Level 2 policy and procedure; SSP,L2;IR;Practice;IR.L2-3.6.3,Validate implementation of IR.L2-3.6.3 Incident Response Testing in the live CUI environment.,IR.L2-3.6.3 is implemented or a concrete gap is documented.
Collect evidence for IR.L2-3.6.3,L2 Incident Response,Level 2,IR,IR.L2-3.6.3,Complete IR Level 2 family readiness,Evidence,High,Joshua Hornback,Andy Volk,Validate IR.L2-3.6.3 Incident Response Testing; Level 2 evidence index,L2;IR;Evidence;IR.L2-3.6.3,Collect artifact and operational proof for IR.L2-3.6.3 Incident Response Testing.,"Evidence for IR.L2-3.6.3 is current, stored, and mapped in the evidence index."
Remediate IR.L2-3.6.3 gaps,L2 Incident Response,Level 2,IR,IR.L2-3.6.3,Complete IR Level 2 family readiness,Remediation,High,Joshua Hornback,Andy Volk,POA&M; evidence review for IR.L2-3.6.3,L2;IR;Remediation;IR.L2-3.6.3,"Close any documentation, implementation, or evidence gaps found for IR.L2-3.6.3 Incident Response Testing.",Gaps for IR.L2-3.6.3 are closed or formally tracked in the POA&M with owner and due date.
Complete MA Level 2 family readiness,L2 Maintenance,Level 2,MA,,,Epic,High,Joshua Hornback,Andy Volk,Level 2 SSP; owner matrix; evidence index,L2;MA;Epic;Family,"Complete Level 2 MA documentation, implementation validation, evidence, review, and approval.",MA Level 2 family package is complete and traceable to all applicable practices.
Finalize MA Level 2 policy,L2 Maintenance,Level 2,MA,,Complete MA Level 2 family readiness,Policy,High,Joshua Hornback,Andy Volk,Existing Level 2 templates; SSP,L2;MA;Policy,Tailor the existing Level 2 MA policy to the live CUI environment.,"Policy is approved, environment-specific, and mapped to practices."
Finalize MA Level 2 procedure,L2 Maintenance,Level 2,MA,,Complete MA Level 2 family readiness,Procedure,High,Joshua Hornback,Andy Volk,Existing Level 2 templates; SSP,L2;MA;Procedure,Tailor the existing Level 2 MA procedure to the live CUI environment.,"Procedure is approved, operationally accurate, and linked to evidence sources."
Validate MA Level 2 family implementation,L2 Maintenance,Level 2,MA,,Complete MA Level 2 family readiness,Implementation,Critical,Joshua Hornback,Andy Volk,MA policy and procedure; SSP,L2;MA;Implementation,"Validate the family-level implementation approach, records, system behavior, and operating cadence for MA.",Family-level implementation checks are complete and deficiencies are recorded.
Collect MA Level 2 family evidence set,L2 Maintenance,Level 2,MA,,Complete MA Level 2 family readiness,Evidence,Critical,Joshua Hornback,Andy Volk,MA implementation validation; Level 2 evidence index,L2;MA;Evidence,Assemble the baseline artifact and proof set for the Level 2 MA family.,"The family evidence set is complete, current, and referenced in the evidence index."
